,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.156,0.241,0.147,0.162,
Normalized EBITDA,144748000000.0,134661000000.0,125820000000.0,130541000000.0,
Net Income From Continuing Operation Net Minority Interest,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Reconciled Depreciation,11698000000.0,11445000000.0,11519000000.0,11104000000.0,
Reconciled Cost Of Revenue,220960000000.0,210352000000.0,214137000000.0,223546000000.0,
EBITDA,144748000000.0,134661000000.0,125820000000.0,130541000000.0,
EBIT,133050000000.0,123216000000.0,114301000000.0,119437000000.0,
Net Interest Income,,,-183000000.0,-106000000.0,198000000.0
Interest Expense,,,3933000000.0,2931000000.0,2645000000.0
Interest Income,,,3750000000.0,2825000000.0,2843000000.0
Normalized Income,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Net Income From Continuing And Discontinued Operation,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Total Expenses,283111000000.0,267819000000.0,268984000000.0,274891000000.0,
Total Operating Income As Reported,133050000000.0,123216000000.0,114301000000.0,119437000000.0,
Diluted Average Shares,15004697000.0,15408095000.0,15812547000.0,16325819000.0,
Basic Average Shares,14948500000.0,15343783000.0,15744231000.0,16215963000.0,
Diluted EPS,7.46,6.08,6.13,6.11,
Basic EPS,7.49,6.11,6.16,6.15,
Diluted NI Availto Com Stockholders,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Net Income Common Stockholders,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Net Income,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Net Income Including Noncontrolling Interests,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Net Income Continuous Operations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
Tax Provision,20719000000.0,29749000000.0,16741000000.0,19300000000.0,
Pretax Income,132729000000.0,123485000000.0,113736000000.0,119103000000.0,
Other Income Expense,-321000000.0,269000000.0,-565000000.0,-334000000.0,
Other Non Operating Income Expenses,-321000000.0,269000000.0,-565000000.0,-334000000.0,
Net Non Operating Interest Income Expense,,,-183000000.0,-106000000.0,198000000.0
Interest Expense Non Operating,,,3933000000.0,2931000000.0,2645000000.0
Interest Income Non Operating,,,3750000000.0,2825000000.0,2843000000.0
Operating Income,133050000000.0,123216000000.0,114301000000.0,119437000000.0,
Operating Expense,62151000000.0,57467000000.0,54847000000.0,51345000000.0,
Research And Development,34550000000.0,31370000000.0,29915000000.0,26251000000.0,
Selling General And Administration,27601000000.0,26097000000.0,24932000000.0,25094000000.0,
Gross Profit,195201000000.0,180683000000.0,169148000000.0,170782000000.0,
Cost Of Revenue,220960000000.0,210352000000.0,214137000000.0,223546000000.0,
Total Revenue,416161000000.0,391035000000.0,383285000000.0,394328000000.0,
Operating Revenue,416161000000.0,391035000000.0,383285000000.0,394328000000.0,
