ticker,company_name,sector,analysis_year,prior_year,m_score,m_score_verdict,m_score_risk,m_flagged_ratios,z_score,z_score_zone,z_score_risk,custom_flags_triggered,custom_flags_total,custom_flags_severity,flag_1_revenue_ocf,flag_2_ar_revenue,flag_3_gross_margin,flag_4_debt_equity,flag_5_ni_fcf,overall_risk,pdf_report,run_timestamp
AAPL,Apple Inc.,Technology,2025,2024,2.3639,LIKELY MANIPULATOR,HIGH,"DSRI, DEPI",11.4909,SAFE ZONE,LOW,1,5,LOW,OK,FLAG,OK,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\AAPL_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:08
MSFT,Microsoft Corporation,Technology,2025,2024,1.6405,LIKELY MANIPULATOR,HIGH,"DSRI, SGI",8.3163,SAFE ZONE,LOW,1,5,LOW,OK,OK,FLAG,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\MSFT_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:09
TSLA,"Tesla, Inc.",Consumer Cyclical,2025,2024,2.7413,LIKELY MANIPULATOR,HIGH,DSRI,19.8034,SAFE ZONE,LOW,1,5,LOW,OK,FLAG,OK,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\TSLA_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:11
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2025,2024,2.4454,LIKELY MANIPULATOR,HIGH,"DSRI, DEPI",6.0071,SAFE ZONE,LOW,0,5,LOW,OK,OK,OK,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\AMZN_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:12
GOOGL,Alphabet Inc.,Communication Services,2025,2024,13.1208,LIKELY MANIPULATOR,HIGH,"DSRI, SGI, DEPI, LVGI",18.7899,SAFE ZONE,LOW,1,5,LOW,OK,OK,OK,FLAG,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\GOOGL_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:14
META,"Meta Platforms, Inc.",Communication Services,2025,2024,5.3028,LIKELY MANIPULATOR,HIGH,"SGI, DEPI, LVGI",8.3296,SAFE ZONE,LOW,1,5,LOW,OK,OK,OK,FLAG,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\META_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:16
NFLX,"Netflix, Inc.",Communication Services,2025,2024,2.6444,LIKELY MANIPULATOR,HIGH,"DSRI, SGI, DEPI",10.3558,SAFE ZONE,LOW,1,5,LOW,OK,FLAG,OK,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\NFLX_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:18
GE,GE Aerospace,Industrials,2025,2024,2.8907,LIKELY MANIPULATOR,HIGH,"DSRI, SGI, DEPI",3.2453,SAFE ZONE,LOW,0,5,LOW,OK,OK,OK,OK,OK,MEDIUM,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\GE_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:20
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,2025,2024,2.8145,LIKELY MANIPULATOR,HIGH,"DSRI, AQI, DEPI",-1.0985,DISTRESS ZONE,HIGH,1,5,LOW,OK,FLAG,OK,OK,OK,HIGH,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\AMC_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:21
F,Ford Motor Company,Consumer Cyclical,2025,2024,6.9422,LIKELY MANIPULATOR,HIGH,GMI,0.8006,DISTRESS ZONE,HIGH,1,5,LOW,OK,OK,FLAG,OK,OK,HIGH,F:\Shriya\PROJECTS\redflagiq\src\..\outputs\reports\F_RedFlagIQ_Report_20260514.pdf,2026-05-14 18:43:23
